t,score,shape,power_db,rssi,state
77.762,0.088,0.529,-0.264,-56.7,0
77.913,0.007,0.513,-0.220,-56.5,0
78.060,0.007,0.484,-0.254,-56.5,0
78.186,-0.276,0.434,-0.103,-56.5,0
78.331,-0.532,0.382,-0.057,-56.3,0
78.452,-0.703,0.378,-0.018,-56.1,0
78.599,-0.783,0.392,-0.018,-56.1,0
78.726,-0.807,0.365,-0.078,-56.2,0
78.861,-0.766,0.412,-0.087,-56.1,0
78.992,-0.265,0.504,-0.328,-56.2,0
79.114,-0.016,0.535,-0.304,-56.3,0
79.259,0.236,0.627,-0.334,-56.3,0
79.382,-0.006,0.642,-0.027,-56.5,0
79.536,-0.049,0.733,0.033,-56.4,0
79.680,-0.029,0.735,0.111,-56.4,0
79.833,1.337,1.226,0.660,-56.4,0
79.957,1.734,1.081,0.544,-56.5,0
80.099,2.927,1.456,0.859,-56.5,0
80.222,2.894,1.133,0.657,-56.4,0
80.372,2.798,1.084,0.636,-56.6,0
80.495,2.588,1.012,0.588,-56.6,0
80.640,1.286,0.512,0.170,-56.5,0
